rank,bits,int,k_selected,stations,energy,objective,penalty,feasible
119,10111001,185,5,Z0|Z3|Z4|Z5|Z7,-99.927445,49.927445,40.0,False
120,11000010,194,3,Z1|Z6|Z7,-99.887391,9.887391,0.0,True
121,11010011,211,5,Z0|Z1|Z4|Z6|Z7,-99.847689,49.847689,40.0,False
122,00111000,56,3,Z3|Z4|Z5,-99.815382,9.815382,0.0,True
123,10100010,162,3,Z1|Z5|Z7,-99.773917,9.773917,0.0,True
124,01010010,82,3,Z1|Z4|Z6,-99.735626,9.735626,0.0,True
125,10110011,179,5,Z0|Z1|Z4|Z5|Z7,-99.734214,49.734214,40.0,False
126,10011000,152,3,Z3|Z4|Z7,-99.659185,9.659185,0.0,True
127,00110010,50,3,Z1|Z4|Z5,-99.622152,9.622152,0.0,True
128,01001110,78,4,Z1|Z2|Z3|Z6,-99.472776,19.472776,10.0,False
129,10010010,146,3,Z1|Z4|Z7,-99.465955,9.465955,0.0,True
130,00101110,46,4,Z1|Z2|Z3|Z5,-99.359302,19.359302,10.0,False
131,10001110,142,4,Z1|Z2|Z3|Z7,-99.203105,19.203105,10.0,False
132,00011110,30,4,Z1|Z2|Z3|Z4,-99.05134,19.05134,10.0,False
133,11100000,224,3,Z5|Z6|Z7,-96.925341,6.925341,0.0,True
134,11110001,241,5,Z0|Z4|Z5|Z6|Z7,-96.885638,46.885638,40.0,False
135,01110000,112,3,Z4|Z5|Z6,-96.773576,6.773576,0.0,True
136,11010000,208,3,Z4|Z6|Z7,-96.617379,6.617379,0.0,True
137,01101100,108,4,Z2|Z3|Z5|Z6,-96.510726,16.510726,10.0,False
138,10110000,176,3,Z4|Z5|Z7,-96.503905,6.503905,0.0,True
139,11001100,204,4,Z2|Z3|Z6|Z7,-96.354529,16.354529,10.0,False
140,01100110,102,4,Z1|Z2|Z5|Z6,-96.317496,16.317496,10.0,False
141,10101100,172,4,Z2|Z3|Z5|Z7,-96.241055,16.241055,10.0,False
142,01011100,92,4,Z2|Z3|Z4|Z6,-96.202764,16.202764,10.0,False
143,11000110,198,4,Z1|Z2|Z6|Z7,-96.161299,16.161299,10.0,False
144,00111100,60,4,Z2|Z3|Z4|Z5,-96.08929,16.08929,10.0,False
145,10100110,166,4,Z1|Z2|Z5|Z7,-96.047825,16.047825,10.0,False
146,01010110,86,4,Z1|Z2|Z4|Z6,-96.009534,16.009534,10.0,False
147,10011100,156,4,Z2|Z3|Z4|Z7,-95.933093,15.933093,10.0,False
148,00110110,54,4,Z1|Z2|Z4|Z5,-95.89606,15.89606,10.0,False
149,10010110,150,4,Z1|Z2|Z4|Z7,-95.739863,15.739863,10.0,False
150,01101010,106,4,Z1|Z3|Z5|Z6,-95.521556,15.521556,10.0,False
151,11001010,202,4,Z1|Z3|Z6|Z7,-95.365359,15.365359,10.0,False
152,10101010,170,4,Z1|Z3|Z5|Z7,-95.251885,15.251885,10.0,False
153,01011010,90,4,Z1|Z3|Z4|Z6,-95.213594,15.213594,10.0,False
154,00111010,58,4,Z1|Z3|Z4|Z5,-95.10012,15.10012,10.0,False
155,10011010,154,4,Z1|Z3|Z4|Z7,-94.943923,14.943923,10.0,False
156,11100100,228,4,Z2|Z5|Z6|Z7,-93.199249,13.199249,10.0,False
157,01110100,116,4,Z2|Z4|Z5|Z6,-93.047484,13.047484,10.0,False
158,11010100,212,4,Z2|Z4|Z6|Z7,-92.891287,12.891287,10.0,False
159,10110100,180,4,Z2|Z4|Z5|Z7,-92.777813,12.777813,10.0,False
160,11101000,232,4,Z3|Z5|Z6|Z7,-92.403309,12.403309,10.0,False
161,01111000,120,4,Z3|Z4|Z5|Z6,-92.251544,12.251544,10.0,False
162,11100010,226,4,Z1|Z5|Z6|Z7,-92.210079,12.210079,10.0,False
163,11011000,216,4,Z3|Z4|Z6|Z7,-92.095347,12.095347,10.0,False
164,01110010,114,4,Z1|Z4|Z5|Z6,-92.058314,12.058314,10.0,False
165,10111000,184,4,Z3|Z4|Z5|Z7,-91.981873,11.981873,10.0,False
166,11010010,210,4,Z1|Z4|Z6|Z7,-91.902117,11.902117,10.0,False
167,10110010,178,4,Z1|Z4|Z5|Z7,-91.788643,11.788643,10.0,False
168,00001100,12,2,Z2|Z3,-91.751876,11.751876,10.0,False
169,00000110,6,2,Z1|Z2,-91.558646,11.558646,10.0,False
170,00001010,10,2,Z1|Z3,-90.762706,10.762706,10.0,False
171,11110000,240,4,Z4|Z5|Z6|Z7,-88.940067,8.940067,10.0,False
172,01000100,68,2,Z2|Z6,-88.71007,8.71007,10.0,False
173,00100100,36,2,Z2|Z5,-88.596596,8.596596,10.0,False
174,10000100,132,2,Z2|Z7,-88.440399,8.440399,10.0,False
175,00010100,20,2,Z2|Z4,-88.288634,8.288634,10.0,False
176,00000001,1,1,Z0,-87.945572,37.945572,40.0,False
177,01001000,72,2,Z3|Z6,-87.91413,7.91413,10.0,False
178,00101000,40,2,Z3|Z5,-87.800656,7.800656,10.0,False
179,01000010,66,2,Z1|Z6,-87.7209,7.7209,10.0,False
180,10001000,136,2,Z3|Z7,-87.644459,7.644459,10.0,False
181,00100010,34,2,Z1|Z5,-87.607426,7.607426,10.0,False
182,00011000,24,2,Z3|Z4,-87.492694,7.492694,10.0,False
183,10000010,130,2,Z1|Z7,-87.451229,7.451229,10.0,False
184,00010010,18,2,Z1|Z4,-87.299464,7.299464,10.0,False
185,01100000,96,2,Z5|Z6,-84.75885,4.75885,10.0,False
186,11000000,192,2,Z6|Z7,-84.602653,4.602653,10.0,False
187,10100000,160,2,Z5|Z7,-84.489179,4.489179,10.0,False
188,01010000,80,2,Z4|Z6,-84.450888,4.450888,10.0,False
189,00110000,48,2,Z4|Z5,-84.337414,4.337414,10.0,False
190,10010000,144,2,Z4|Z7,-84.181217,4.181217,10.0,False
191,01101110,110,5,Z1|Z2|Z3|Z5|Z6,-71.795464,21.795464,40.0,False
192,11001110,206,5,Z1|Z2|Z3|Z6|Z7,-71.639267,21.639267,40.0,False
193,10101110,174,5,Z1|Z2|Z3|Z5|Z7,-71.525793,21.525793,40.0,False
194,01011110,94,5,Z1|Z2|Z3|Z4|Z6,-71.487502,21.487502,40.0,False
195,00111110,62,5,Z1|Z2|Z3|Z4|Z5,-71.374028,21.374028,40.0,False
196,10011110,158,5,Z1|Z2|Z3|Z4|Z7,-71.217831,21.217831,40.0,False
197,11101100,236,5,Z2|Z3|Z5|Z6|Z7,-68.677217,18.677217,40.0,False
198,01111100,124,5,Z2|Z3|Z4|Z5|Z6,-68.525452,18.525452,40.0,False
199,11100110,230,5,Z1|Z2|Z5|Z6|Z7,-68.483987,18.483987,40.0,False
200,11011100,220,5,Z2|Z3|Z4|Z6|Z7,-68.369255,18.369255,40.0,False
201,01110110,118,5,Z1|Z2|Z4|Z5|Z6,-68.332222,18.332222,40.0,False
202,10111100,188,5,Z2|Z3|Z4|Z5|Z7,-68.255781,18.255781,40.0,False
203,11010110,214,5,Z1|Z2|Z4|Z6|Z7,-68.176025,18.176025,40.0,False
204,10110110,182,5,Z1|Z2|Z4|Z5|Z7,-68.062551,18.062551,40.0,False
205,11101010,234,5,Z1|Z3|Z5|Z6|Z7,-67.688047,17.688047,40.0,False
206,01111010,122,5,Z1|Z3|Z4|Z5|Z6,-67.536282,17.536282,40.0,False
